site,dxf_label,id,full_label,description,type,phase,readiness,capex,bays,constraint,solar
tacoma,ADMIN,corp_hq,Corporate HQ,Boeing offices 68k sqft,office,1,88,$18M,,,
tacoma,ZONE T1,central_wh,Central Warehouse,JIT storage 160k sqft,warehouse,1,90,$4.1M,,,
tacoma,ZONE T2,fuselage_mfg,Fuselage Manufacturing,CNC Robotic drilling 240k sqft,assembly,1,91,$28M,3,,
tacoma,R&D,eng_center,Engineering Center,R&D Design 60k sqft,office,2,82,$9M,,,
tacoma,ENG,wing_mfg,Wing Manufacturing,Wing box Composite 280k sqft,assembly,1,89,$32M,3,,
tacoma,MFG HALL A,fab_main,Final Assembly Building,6 bays 1.2M sqft 80ft clear height,assembly,1,93,$145M,6,,
tacoma,MFG HALL B,composite_mfg,Composite Mfg Facility,Autoclave Clean room 120k sqft,cleanroom,1,86,$22M,,FAA airspace review,
tacoma,MFG HALL C,dt_ops,Digital Twin Command,AI ops Mission critical,office,2,83,$6M,,,
tacoma,WAREHOUSE,ops_center,Operations Center,Quality Fleet 40k sqft,office,2,80,$5M,,,
tacoma,BUFFER A,supplier_hub,Supplier Hub,Tier-1 inbound 80k sqft,warehouse,1,88,$3.2M,,,
tacoma,ASSEMBLY A,flight_test,Flight Test Hangar,Instrumentation 80k sqft,test,2,77,$18M,,,
tacoma,ASSEMBLY B,delivery_ctr,Delivery Center,Customer acceptance 60k sqft,office,3,72,$12M,,,
tacoma,FINISH,paint_hangar,Paint Hangar,Aircraft finishing 120k sqft,mfg,2,79,$32M,,VOC abatement permit,
tacoma,DISPATCH,distrib_ctr,Distribution Center,Outbound logistics 60k sqft,dock,2,85,$4.2M,,,
tacoma,BUFFER B,highbay_wh,High-Bay Warehouse,ASRS 48-door 120k sqft,warehouse,2,84,$3.8M,,,
tacoma,UTIL,utility_plant,Utility Plant,50MVA Chiller PSE 115kV,utility,1,90,$8.4M,,PSE permit pending,
tacoma,STAGING A,apron,Aircraft Apron and Taxiway,68 stands Ground test area,yard,2,81,$22M,,,
everett,ADMIN,corp_hq,Corporate HQ,Boeing offices 80k sqft,office,1,90,$22M,,,
everett,ZONE B1,fab_main,Final Assembly Building,8 bays 1.8M sqft 110ft clear 777X capable,assembly,1,95,$220M,8,,
everett,ZONE B2,port_rail,BNSF Port Rail Terminal,Port of Everett Class 1,rail,1,94,$6.8M,,,
everett,R&D,eng_campus,Engineering and Design Campus,R&D Design 80k sqft,office,2,84,$12M,,,
everett,ENG,wing_mfg,Wing and Empennage Mfg,Wing box 777X scale 380k sqft,assembly,1,91,$48M,4,,
everett,CLEAN RM,cleanroom,Clean Room Block,ISO Class 7 60k sqft,cleanroom,1,85,$26M,,FAA airspace clearance,
everett,MFG A,fuselage_mfg,Fuselage Assembly,CNC Robotic 320k sqft,assembly,1,93,$42M,4,,
everett,AERO FAB,composite_mfg,Composite Manufacturing,Autoclave CFRP 180k sqft,cleanroom,1,88,$34M,,Clean room HVAC spec pending,
everett,WAREHOUSE,inbound_wh,Inbound Warehouse,JIT 180k sqft,warehouse,1,91,$4.8M,,,
everett,DOCK,supplier_hub,Supplier Staging Hub,Tier-1 120k sqft,warehouse,1,89,$3.6M,,,
everett,MFG B,dt_command,Digital Twin Command,AI fleet ops Mission critical,office,2,82,$8M,,,
everett,ASSY A,paint_hangar,Paint Hangar,Aircraft finishing 160k sqft,mfg,2,80,$38M,,,
everett,ASSY B,delivery_ctr,Delivery Center,Airline acceptance 80k sqft,office,3,74,$16M,,,
everett,QC/TEST,flight_test,Flight Test Hangar,Instrumentation 100k sqft,test,2,79,$22M,,,
spokane,ADMIN,corp_hq,Corporate HQ,Boeing Spokane offices 50k sqft,office,1,90,$12M,,,
spokane,ZONE B1,bnsf_hub,BNSF Freight Hub,Intermodal 2.1mi to yard,rail,1,96,$4.8M,,,
spokane,ZONE P1,i90_terminal,I-90 Truck Terminal,Exit 291B 48-door,dock,1,98,$2.1M,,,
spokane,ZONE P2,inbound_wh,Inbound Warehouse,Parts storage 100k sqft,warehouse,1,90,$3.2M,,,
spokane,ZONE P3,eng_center,Engineering Center,Design Tooling 50k sqft,office,2,85,$9M,,,
spokane,MFG A,fab1,Fabrication Unit 1,Sheet metal CNC 200k sqft,assembly,1,88,$24M,3,,
spokane,MFG B,fab2,Fabrication Unit 2,Welding Machining 180k sqft,assembly,1,85,$21M,3,,
spokane,MFG C,integration,Integration Hall,Assembly Inspection 320k sqft,assembly,1,90,$38M,4,,
spokane,MFG D,dt_ops,Digital Twin Command,AI ops Production monitoring,office,2,80,$5M,,,
spokane,LOGI,solar_array,Solar Farm Ph.1,5.2 MW 30-acre array,solar,1,94,$6.8M,,,true
spokane,PROD A,qa_lab,QA Inspection Lab,CMM NDT NADCAP 32k sqft,test,1,88,$6M,,,
spokane,ASSY A,test_calibr,Test and Calibration,Metrology 24k sqft,test,2,83,$4M,,,
spokane,ASSY B,outbound_hub,Outbound Freight Hub,Boeing Auburn shipments,dock,1,92,$2.8M,,,
spokane,PROD B,training_ctr,Training Center,Workforce dev 30k sqft,office,1,88,$6M,,,
spokane,STAGE,wind_turbines,Wind Turbines x3,3 x 600kW,yard,2,85,$4.2M,,Residential setback review,
yakima,ADMIN,corp_hq,Corporate HQ,Boeing Yakima offices 40k sqft,office,1,88,$8M,,,
yakima,MFG A,solar_mod_fab,Solar Module Fab,Agrivoltaic 180k sqft,assembly,2,74,$24M,3,Agricultural buffer 300ft,
yakima,SOLAR FAB,solar_array,Utility Solar Array,8.4 MW Primary generation,solar,1,92,$10.2M,,,true
yakima,R&D,eng_center,Engineering Center,R&D Clean energy 40k sqft,office,2,78,$8M,,,
yakima,CLEAN RM,battery_asm,Battery Assembly,BESS integration 100k sqft,assembly,2,68,$21M,2,BESS fire code setback,
yakima,MFG B,dt_ops,Digital Twin Command,Energy monitoring AI ops,office,2,76,$5M,,,
yakima,BESS ASSY,bess_storage,BESS Storage Array,12 MWh 4-hr dispatch,utility,2,74,$8.4M,,Fire code BESS separation,
yakima,LOGI HUB,us97_terminal,US-97 Freight Terminal,Truck access Scale,dock,1,91,$1.6M,,,
yakima,UTIL/SUB,solar_sub,Solar Substation,34.5kV PacifiCorp,utility,1,76,$5.2M,,Interconnect approval pending,
yakima,ASSEMBLY,integration,Integration Hall,Final QC and Dispatch 200k sqft,assembly,2,76,$22M,3,,
yakima,QC TEST,water_recycle,Water Recycling Plant,Closed-loop Zero discharge,utility,1,52,$3.6M,,Yakima Irrigation Dist. conflict,
yakima,DISPATCH,test_dispatch,Testing and Dispatch,Grid export QC,test,2,79,$4M,,,
yakima,STAGING,data_center,Data Center,2 MW BESS backed,utility,2,75,$3M,,,